,Time,Solar8000/HR
546,1094.37,90
547,1096.37,90
548,1098.37,90
549,1100.37,90
550,1102.37,90
551,1104.37,90
552,1106.37,91
553,1108.37,91
554,1110.37,92
555,1112.37,92
556,1114.37,92
557,1116.37,92
558,1118.37,92
559,1120.37,92
560,1122.37,91
561,1124.37,90
562,1126.37,90
563,1128.37,90
564,1130.37,90
565,1132.37,90
566,1134.37,90
567,1136.37,90
568,1138.37,90
569,1140.37,90
570,1142.37,90
571,1144.37,90
572,1146.37,90
573,1148.37,90
574,1150.37,90
575,1152.37,90
576,1154.37,91
577,1156.37,91
578,1158.38,92
579,1160.37,92
580,1162.37,92
581,1164.37,93
582,1166.37,92
583,1168.38,92
584,1170.38,91
585,1172.38,91
586,1174.38,91
587,1176.38,91
588,1178.38,91
589,1180.38,91
590,1182.38,91
591,1184.38,91
592,1186.38,91
593,1188.38,91
594,1190.38,91
595,1192.37,91
596,1194.38,91
597,1196.38,91
598,1198.38,91
599,1200.38,91
600,1202.38,90
601,1204.38,90
602,1206.38,90
603,1208.38,90
604,1210.38,90
605,1212.38,90
606,1214.38,90
607,1216.38,90
608,1218.38,90
609,1220.38,90
610,1222.38,90
611,1224.38,90
612,1226.38,90
613,1228.38,90
614,1230.38,90
615,1232.38,90
616,1234.38,90
617,1236.38,90
618,1238.38,90
619,1240.38,90
620,1242.38,90
621,1244.38,90
622,1246.38,90
623,1248.38,90
624,1250.38,90
625,1252.38,90
626,1254.38,90
627,1256.38,90
628,1258.38,90
629,1260.38,90
630,1262.38,89
631,1264.38,89
632,1266.38,89
633,1268.38,89
634,1270.38,89
635,1272.39,89
636,1274.39,89
637,1276.39,89
638,1278.39,89
639,1280.39,89
640,1282.39,89
641,1284.39,88
642,1286.39,88
643,1288.39,88
644,1290.39,88
645,1292.39,88
646,1294.39,88
647,1296.39,88
648,1298.39,88
649,1300.39,89
650,1302.39,89
651,1304.39,89
652,1306.39,89
653,1308.39,89
654,1310.39,88
655,1312.39,89
656,1314.39,89
657,1316.39,89
658,1318.39,88
659,1320.39,88
660,1322.39,88
661,1324.39,88
662,1326.39,88
663,1328.39,88
664,1330.39,88
665,1332.39,88
666,1334.39,89
667,1336.39,88
668,1338.39,89
669,1340.39,88
670,1342.39,88
